A B crs
39 33 0
39 34 0
39 35 16.183063020673384
39 36 3.0391283884358877
39 37 1.8926014124770956
39 38 18.389303541508234
40 01 1.1979777584624527
40 02 1.9187368837353211
40 03 3.3801364849159956
40 04 3.3565797977338767
40 05 0
40 06 1.212239455098436
40 07 4.945564577718752
40 08 4.577622846633969
40 09 0
40 10 0.9726498652914097
40 11 3.7008280151244244
40 12 2.716033870052493
40 13 1.0745343567011816
40 14 2.000318688592911
40 15 3.655082133658323
40 16 0.9415109000003611
40 17 5.065423287883865
40 18 3.0488816597117596
40 19 0
40 20 1.6744566263926344
40 21 3.2110863338058793
40 22 2.4243009794451784
40 23 2.2357161953270284
40 24 0.9897324874803973
40 25 3.5280490893630954
40 26 0.689994863774907
40 27 2.695049130953263
40 28 0
40 29 3.3507874200664545
40 30 3.128187750184499
40 31 1.3731581411531537
40 32 2.3201504314656156
40 33 1.7726575072153203
40 34 0.19398191413060908
40 35 14.431971353058586
40 36 3.4964761945719935
40 37 0.3807787060577024
40 38 16.804116123310283
40 39 1.1720448127937477
41 01 5.213588276186909
41 02 2.2468378201375003
41 03 3.7137430024828677
41 04 1.5838940799304935
41 05 1.9534439072243588
41 06 0
41 07 6.050769584899449
41 08 7.356828307668372
41 09 3.784108870157402
41 10 0.8852510056583974
41 11 0
41 12 4.622809092425363
41 13 0.8034154151568684
41 14 0
41 15 5.146157464829687
41 16 2.6751936746724416
41 17 8.189598939083126
41 18 0.33348780355850355
41 19 3.117165641938708
41 20 5.690005097148403
41 21 0
41 22 5.949488475568033
41 23 0.5338803808527999
41 24 3.844158290014672
41 25 6.4113762987106
41 26 4.7053980575643575
41 27 4.368021162299645
41 28 2.3075898506340606
41 29 0
41 30 2.4251651286979206
41 31 5.318667350980005
41 32 3.944541204585904
41 33 4.76580151267348
41 34 3.740368491495005
41 35 10.34451112236646
41 36 4.615099264130576
41 37 2.0836872182503754
41 38 12.83979524217582
41 39 4.851095725957635
41 40 2.759211914189679
42 01 0.3482103680366048
42 02 1.7105646858687817
42 03 2.5427541828719566
42 04 3.1420699431319274
42 05 1.0621449882763019
42 06 2.3568944053426146
42 07 3.8319859209279827
42 08 3.1377387766028164
42 09 0
42 10 2.217304390209555
42 11 4.715411464918186
42 12 1.6366079560676234
42 13 1.666510691191457
42 14 3.1015597418745378
42 15 4.563438725981796
42 16 0.41463643634278236
42 17 3.5773721113455625
42 18 2.976558849899343
42 19 0
42 20 0.7535729920862805
42 21 4.457237460564489
42 22 0.9330617309036964
42 23 2.5481676400486846
42 24 1.5662421532191544
42 25 2.1017091537079784
42 26 0
